id_penyakit,nama_obat,harga,butuh,satuan,nama_toko,url
2,Remazole-P 490 EC,239000,400,mL,UD. Roy Mandiri,https://shopee.co.id/FUNGISIDA-REMAZOLE-P-490-EC-400-ML-i.239213009.6660695849?ads_keyword=wkdaelpmissisiht&adsid=27824891&campaignid=16620619&position=0
2,Remazole-P 490 EC,247000,400,mL,UD. Mulur Pertanian,https://shopee.co.id/Fungisida-Remazole-P-dari-royal-agro-400-ml-i.21754376.6262742821?position=4
3,Agadi 50 SC,139000,250,mL,Waroeng Alifa,https://shopee.co.id/Insektisida-Agadi-50-sc-500-ml-i.273061481.8616011844?position=3
3,Agadi 50 SC,140000,250,mL,Subur Makmur,https://shopee.co.id/Agadi-SC-500-ml-(Fipronil-50-g-l)-i.27952762.7307268932?position=2
4,Envoy 80 WP,45500,1,gram,UD. Suryatani,https://shopee.co.id/FUNGISIDA-ENVOY-80-WP-100-GRAM-i.162939382.3807042358
4,Envoy 80 WP,49000,1,gram,Milkykushop,https://shopee.co.id/ENVOY-80-WP-100-GRAM-FUNGISIDA-i.16443162.6352758245?ads_keyword=envoy%2080wp&adsid=19536360&campaignid=11504155&position=0
6,Sphinx 500 SC,40000,10,ml/kg benih,UD. Roy Mandiri,https://shopee.co.id/FUNGISIDA-SISTEMIK-SPHINX-500-SC-50-ML-i.239213009.4360697608?position=5
6,Sphinx 500 SC,39000,10,ml/kg benih,Nanda Nutria,https://shopee.co.id/SPHINX-500-SC-50-ml-i.41819123.4316527665
6,Adore 200SC,75000,20,mL per tangki,WoyoRita,https://shopee.co.id/Obat-Hawar-Padi-Jagung-Obat-Lodoh-Bawang-Merah-Cabai-Fungisida-Adore-200SC-100ml-i.151877235.8055283874?position=2 
6,Adore 200SC,85000,20,mL per tangki,baranurmahesyajr.,https://shopee.co.id/OBAT-HAWAR-PADI-JAGUNG-FUNGISIDA-ADORE-50ML-i.82243287.8466769272?position=0 
6,Cabrio Gold 183,74000,500,mL,UD. Roy Mandiri,https://shopee.co.id/FUNGISIDA-CABRIO-GOLD-183-SE-100-ML-i.239213009.5859771859?ads_keyword=wkdaelpmissisiht&adsid=25659874&campaignid=15246040&position=0
7,Custodia 320 SC,285000,200,mL,Griya Tani,https://shopee.co.id/Fungisida-Custodia-320-SC-400-mL-i.6895610.7156708322?position=0
7,Custodia 320 SC,282000,200,mL,Sahabat Tani Batu,https://shopee.co.id/Fungisida-Custodia-320-sc-400-ml-i.282127453.7942298385?position=1
7,Penncozeb 80 WP,99000,1,kg,Bibit Murni Bandung,https://www.tokopedia.com/bibitmurnibandung/fungisida-penncozeb-80-wp-1-kg-mancozeb-biru?whid=0
7,Penncozeb 80 WP,97500,1,kg,Bekah Mulyo Tani,https://www.tokopedia.com/bekahmulyo/fungisida-penncozeb-80-wp-1-kg-mancozeb-biru-busuk-daun-jamur-tanaman?whid=0
7,Penncozeb 80 WP,98000,1,kg,PutroTani01,https://www.tokopedia.com/putratani01/fungisida-penncozeb-80-wp-kemasan-1kg?whid=0
7,Anrin Fungisida,125000,250,gram,Paradis Tani Jaya,https://www.tokopedia.com/pusatobattani/fungisida-anti-jamur-tanaman-jagung-anrin-fungisida-anti-bulai?whid=0
7,Anrin Fungisida,105000,250,gram,Sinar Tani N,https://www.tokopedia.com/sinartaninusantara9/fungisida-anti-jamur-tanaman-jagung-anrin-fungisida-anti-bulai?whid=0
7,Anrin Fungisida,150000,250,gram,Grosir Pertanian,https://www.tokopedia.com/grosirpertanianobat/fungisida-anti-jamur-tanaman-jagung-anrin-fungisida-anti-bulai?whid=0
8,Synergy 300 EC,130000,300,mL,UD. Istana Tani,https://shopee.co.id/Fungisida-Synergy-300-EC-250ml-i.24551748.13804718631?position=0
8,Synergy 300 EC,129000,300,mL,Diyan Marsella,https://shopee.co.id/Fungisida-Synergy-300-EC-250ml-i.192901531.10241033092?position=3
8,Closen 125 SC,55000,1.5,mL per liter,Tani Jaya Makmur,https://shopee.co.id/CLOSEN-125-SC-100ml-piraklostrobin-(pyraclostrobin)-125-g-l-Fungisida-bersifat-protektif-kuratif-i.49550723.3284838588?position=0 
1,-,0,0,,none,#
5,-,0,0,,none,#
